id,domain,feature,user_story,expected_behavior,status,gaps_for_robustness,priority,test_result,notes
A11,Auth,Refresh Token Rotation (Token Family),"As a returning user, I want to exchange my refresh token for a new one with rotation and reuse detection that revokes the whole token family if a stolen token is replayed, so that my session stays secure against theft.","; - `POST /auth/refresh` — requires `refresh_token` in body. ; - `rotateRefreshToken(rawToken)` in `auth-service.js`: ; - Hashes token with `hashToken` (SHA-256). ; - Looks up `refresh_tokens` by hash; checks not revoked and not expired. ; - **Token reuse detection:** if token is already revoked, marks entire `token_families` row as `compromised_at = NOW()` and revokes ALL tokens in that family — ",Implemented,"; - Token family compromise revokes ALL tokens in the family, but does NOT immediately revoke active sessions (user_sessions rows). A stolen access token (still within 60-min window) continues to work even after family compromise. ; - No push notification or email sent to the user when a token family is compromised (silent security event). ; - `token_families` table has no TTL/cleanup job — famili",P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A12,Auth,Account Lockout,"As an account owner, I want my account locked after too many failed login attempts based on configurable thresholds, so that my account is protected from brute-force attacks.","; - `incrementFailedLoginCount(userId)` increments `users.failed_login_count`; if threshold is exceeded, sets `users.locked_until = NOW() + lockout_duration`. ; - Threshold and duration fetched from `security_config` table (configurable per environment), with hardcoded defaults. ; - `isAccountLocked(userId)` returns true if `locked_until > NOW()`. ; - `resetFailedLoginCount(userId)` zeros the coun",Implemented,"; - **Social and phone login do not hit the lockout counter.** An attacker who can control the phone OTP flow (e.g., SIM swap) has no lockout protection. ; - `locked_until` is checked before `bcrypt.compare` — but the response message on locked account leaks that the account exists (different error than `INVALID_CREDENTIALS`). This is an enumeration vector. ; - No progressive lockout: first lockou",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A13,Auth,Forgot Password / Reset Password,"As a returning user, I want to request a password reset by email (always answered identically to avoid revealing whether the email exists) and set a new password with the emailed token, so that I can regain access if I forget my password.","; - `POST /auth/forgot-password` — requires `email`. ; - Always returns 200 (no enumeration leak on unknown email). ; - Rate-limited per IP. ; - Looks up user by verified email contact; if found: `createPasswordResetToken(userId)` generates a secure random token, hashes it, stores in `password_reset_tokens` with TTL. ; - Sends reset email via `emailService`. ; - `POST /auth/reset-password` — requi",Implemented,"; - `invalidateAllPasswordResetTokens` and `revokeAllRefreshTokensForUser` are called but `revokeAllSessionsExcept(userId, null)` is NOT called — sessions in `user_sessions` are NOT revoked on password reset. An attacker with a stolen session token can continue using it after the victim resets their password. ; - Password reset token TTL not verified in code (likely 1 hour, but not confirmed witho",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A14,Auth,Email Verification (Send + Resend + Verify),"As a user, I want a verification email sent at signup and resendable while signed in, and to confirm my email by submitting the emailed token, so that I can prove ownership of my email address.","; - Verification email sent automatically at signup / phone-register (if email provided). ; - `POST /auth/verify-email` — requires `token` (from email link). No auth required. `verifyEmailVerificationToken(token)` looks up hash in `email_verification_tokens`, checks expiry, marks `verified_at` on `user_contacts`. ; - `POST /auth/email/resend-verification` — requires auth (`requireAuth`). Rate-limi",Implemented,"; - `verify-email` is unauthenticated — the token IS the credential, which is correct. However there is no binding of the token to a device/session; anyone who intercepts the email link can verify the address for the intended user (acceptable for email verification, but worth noting). ; - Token expiry not confirmed in scope but likely 24h based on conventions elsewhere. If token expires, user must",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A15,Auth,Session Management (List + Revoke),"As an account owner, I want to list my active sessions and revoke a specific one or all others, so that I can control where my account is signed in.","; - `GET /auth/sessions` — `requireAuth`. Queries `user_sessions WHERE user_id = ? AND revoked_at IS NULL` along with `user_agent`, `ip_address`, `created_at`, `last_active_at`. Returns array of sessions. ; - `DELETE /auth/sessions/:id` — `requireAuth`. Revokes a specific session (sets `revoked_at`) if it belongs to the requesting user. Cannot revoke current session this way (guarded). ; - `POST /",Implemented,"; - `last_active_at` on sessions is set at creation but never updated on subsequent authenticated requests — the session list shows the login time, not the last-seen time. ; - No ""revoke all other sessions"" button from `GET /auth/sessions` — user must revoke one by one. `revokeAllSessionsExcept(userId, sessionId)` exists in auth-service but is not exposed as an API endpoint. ; - Session records ",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A16,Auth,Phone Number Linking to Existing Account,"As an account owner, I want to link a phone number to my account by verifying its OTP (rejected if the phone is already on another account), so that I can sign in with that phone too.","; - `POST /auth/phone/link` — `requireAuth`. Requires `phone_number`, `code` (previously verified OTP). ; - Rate-limited per IP. ; - Verifies OTP via `smsService.verifyCode`. ; - Checks that phone is not already linked to another account. ; - Calls `identityService.linkIdentityToUser(db, request.userId, ""phone"", phone_number)` — inserts `user_contacts` row. ; - Logs auth event.",Implemented,"; - The OTP used here is the same one issued by `POST /auth/phone/send-code` — but there is no token binding between the ""send"" and ""link"" flows. A code sent for the purpose of registration could be replayed here if intercepted. The OTP itself is short-lived (SMS service TTL), which mitigates this. ; - No check that the authenticated user doesn't already have a phone number — `linkIdentityToUs",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A17,Auth,Apple Identity Linking to Existing Account,"As an account owner, I want to link my Apple identity to my account after token verification (rejected if that Apple ID belongs to another account), so that I can sign in with Apple as well.","; - `POST /auth/identity/link/apple` — `requireAuth`. Requires Apple `id_token` or `authorization_code`. ; - Verifies the Apple token via `verifySocialToken` / `exchangeAppleAuthorizationCode`. ; - Checks that the Apple ID (`provider_user_id`) is not already linked to a different account — `assertNoIdentityConflict`. ; - Calls `linkIdentityToUser(db, request.userId, ""apple"", appleUserId)`. ; - O",Implemented,"; - If the Apple ID is already linked to a DIFFERENT account, the error response reveals that the Apple ID is in use — a minor identity enumeration leak. ; - No `assertNoContactConflict` called for the Apple email (relay or real) — a real Apple email could silently create a duplicate `user_contacts` entry if it already exists under a different user. ; - After linking, no notification is sent to us",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A18,Auth,User Profile (Get / Update / Skip-Completion / Username Check),"As an account owner, I want to fetch and update my profile, check username availability, and skip profile completion, so that I can manage my account details.","; - `GET /auth/me` — `requireAuth`. Calls `buildUserProfileResponse(userId)` which aggregates: user row, all contacts (`user_contacts`), all providers (`user_auth_providers`), `computeProfileCompleteness(...)`, `entitlements` tier, primary email/phone. ; - `PATCH /auth/profile` — `requireAuth`. Accepts `contact_email`, `display_name`. Updating email triggers a new verification flow. ; - `POST /aut",Implemented,; - `GET /users/username/available` is unauthenticated — an unauthenticated attacker can enumerate all taken usernames in bulk. Should require at minimum a device token or rate limit aggressively. ; - `PATCH /auth/profile` accepts `contact_email` which is stored unverified. There is no binding check that prevents a user from claiming another user's unverified email. ; - No display_name sanitisatio,P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A19,Auth,Account Deletion (GDPR Soft-Delete + Cascade),"As an account owner, I want to delete my account, soft-deleting my record and revoking all my tokens and sessions with a GDPR audit entry, so that I can remove my data and access.",; - `DELETE /auth/delete-account` — `requireAuth`. ; - Calls `authService.deleteUserAccount(request.userId)` which performs a **cascading deletion**: ; - Sets `users.deleted_at = NOW()` (soft delete). ; - Revokes all refresh tokens for the user. ; - Revokes all sessions. ; - Logs a `gdprAuditService` event (GDPR deletion request record). ; - Route also logs the deletion IP and user agent. ; - Retu,Partial,"; - **Soft-delete only.** `users.deleted_at` is set, but PII fields (`name`, `email` in contacts, `phone` in contacts) are **not nulled/pseudonymised**. GDPR Article 17 requires erasure of personal data, not just tombstoning the row. A soft-delete without PII wipe is not compliant. ; - `revokeAllEnrollmentSessionTokensForUser` is imported in auth-service.js (visible in exports) but it is unclear i",P0,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A20,Auth,Onboarding Questionnaire & Song Suggestion,"As an anonymous user, I want to fetch the onboarding questionnaire graph and submit my answers to get a song suggestion without signing in, so that I can explore creating a song before registering.","; - `GET /api/onboarding/graph.json` — **no auth required**. Returns the onboarding decision-tree graph (`onboarding-graph.json`) loaded from filesystem. Used by iOS client to drive the questionnaire UI locally. ; - `POST /api/onboarding/suggest` — **no auth required**. Accepts questionnaire answers (`relationship_type`, `emotional_seed`, `occasion`, etc.). Returns `{ title, emotional_angle, previ",Implemented,"; - **No rate limiting on `/api/onboarding/suggest`** — an unauthenticated caller can trigger unlimited LLM calls (Gemini Flash API costs). This is a cost-injection attack vector. ; - `loadOnboardingGraph` searches 3 filesystem paths with `fsSync.existsSync` — if none are found, the endpoint returns 404 or throws. No graceful fallback or embedded default. ; - LLM suggestion result is not cached — ",P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A21,Auth,OAuth 2.0 / MCP Server Discovery (Well-Known),"As an API client, I want to retrieve the server's OAuth/MCP discovery documents and JWKS from well-known endpoints, so that I can discover authorization metadata and verify tokens.",; - `GET /.well-known/oauth-authorization-server` — serves static JSON from `public/.well-known/oauth-authorization-server` (if file exists). Returns 503 if file missing. ; - `GET /.well-known/oauth-protected-resource` — same pattern. ; - `GET /.well-known/jwks.json` — serves JWKS for JWT verification. Content served from `public/.well-known/jwks.json` static file. ; - `GET /.well-known/api-catalo,Partial,"; - `/.well-known/jwks.json` is a **static file**, not dynamically generated from the current `JWT_SECRET`. If the JWT secret is rotated, the JWKS file is not automatically updated — any OAuth consumer verifying JWTs against JWKS will fail until the file is manually regenerated. ; - `GET /auth/authorize` and `POST /auth/token` are defined in well-known route but their handler bodies are truncated ",P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A22,Auth,Admin Authentication (Separate Surface),"As an admin, I want to authenticate through a separate admin session surface that validates my session token and enforces role checks, so that I can access admin-only functions securely.","; - `adminAuthService` in `src/services/admin-auth-service.js` manages admin sessions independently. ; - `validateSession(token)` verifies an admin session token (stored in `admin_sessions` table). ; - `requireAdminSession(request, reply)` preHandler validates the Bearer token from `Authorization` header. ; - `requireAdminRole(request, reply, allowedRoles)` extends session validation with role che",Implemented,; - Admin sessions in `admin_sessions` do not have a `max_session_duration_hours` enforcement in code — sessions may persist longer than intended if `revoked_at` is never set. Need to verify `default_session_duration_hours` is enforced. ; - `requireAdminUiAccess` is a separate preHandler from `requireAdminSession` — unclear if they share the same validation logic or if one is weaker. Divergence co,P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B1,SongCreation,Create Track (Direct / Legacy Path),"As a user, I want to create a song track by entering the recipient, occasion, style, and personal details, so that the system can generate a personalized song.","; - Endpoint: `POST /tracks` ; - Auth: required (`requireUserId`) ; - Body fields: `title`, `occasion`, `recipient_name`, `recipient_phone`, `recipient_channel`, `style`, `duration_target` (default 60), `voice_mode`, `voice_gender`, `message`, `relationship_type`, `years_known`, `specific_memory`, `special_phrases`, `what_makes_them_special`, `memory_answers[]` ; - Moderation check (`moderationChe",Implemented,; - No schema validation library (Zod/Joi); field coercion is ad-hoc (`body.title || null`) ; - `duration_target` not range-validated beyond JavaScript default ; - No deduplication guard on same-user duplicate tracks with identical content ; - `memory_answers` accepted but not validated for content/length,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B2,SongCreation,Story Interview / Conversation (AI-Guided Path),"As a user, I want an AI-guided conversation that asks about my story, so that I can build a rich, detailed basis for my song without writing it all myself.","; - Endpoints registered by `registerStoryRoutes` in `src/routes/story.js` ; - `POST /stories` — start new story session: creates DB session, accepts `recipient_name`, `occasion`, `initial_prompt`; calls `writer.startStory()`; returns `story_id`, first question ; - `POST /stories/:id` — continue story: accepts `answer`; calls `writer.continueStory()`; runs Labov gap analysis (`computeLabovGapAnaly",Implemented,; - No rate limit on `POST /stories` story creation (unlimited sessions per user) ; - No rate limit on `POST /stories/:id` answer endpoint ; - Debug endpoints guarded by `NODE_ENV` check but no additional auth; if `NODE_ENV` leaks to production these expose full LLM pipeline ; - Story sessions are not garbage-collected; no TTL or cleanup job found ; - `writer.startStory` / `writer.continueStory` m,P3,PASS @2026-06-23: 15/15 story contract + 11/13 E2E pass; concurrent /continue 500->409 fixed (2811894),; --- ;
B3,SongCreation,Story → Track Conversion,"As a user, I want to turn a completed story into a song track, so that the details I shared are carried into the render.","; - Endpoint: `POST /stories/:id/to-track` ; - Auth: required ; - Body: optional `style`, `gift_reservation_id`, `voice_gender`, `recipient_phone`, `recipient_channel` ; - Fetches story context from writer; computes `composedTitle`, builds `storyContext` object via `buildTrackStoryContextPayload()` ; - Validates gift funding reservation if `gift_reservation_id` provided ; - Validates voice mode / ",Implemented,; - `params_hash` computed at version creation; if story context changes after this call there is no re-hash path ; - No check that story was in `complete` or `can_proceed_anyway` state before conversion (any story session can be converted regardless of readiness score) ; - Gift reservation validated but race condition possible: two concurrent calls with same reservation could both pass `validateG,P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B4,SongCreation,AI Memory / Wizard Follow-up Questions,"As a user, I want the app to ask thoughtful follow-up memory questions about my recipient, so that my song captures emotional and sensory details.","; - Service: `src/services/memory-questions.js` — `generateMemoryQuestions({ memory, occasion, recipientName })` ; - Sanitizes all inputs with `sanitizeForPrompt` before LLM call ; - Calls `generateText()` (LLM provider) with a structured prompt targeting 3 question types: EMOTION, SENSORY, RESOLUTION ; - Returns 2-3 questions with placeholders as JSON ; - Used by `POST /tracks` when `memory_answe",Implemented,; - No endpoint-level rate limit on calls to this service (relies on parent route's general limit) ; - No caching: same memory+occasion can trigger duplicate LLM calls ; - Error from LLM is unhandled at service boundary (throws raw); caller must catch ; - No validation that the JSON output actually contains the expected question array shape before returning,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B5,SongCreation,Song Readiness Pre-flight Gate,"As a user, I want a readiness check before rendering that tells me what's missing, so that I don't spend a credit on an incomplete song.","; - Module: `src/writer/song-readiness.js` — `assessSongReadiness(rawContext)` ; - Deterministic (no LLM call); validates: presence of story text, required detail ledger size, prompt budget hard-cap check via `buildSongwriterPrompt`, song contract validity via `validateSongContract` ; - Returns `{ ready, status, blockers[], warnings[], follow_up_question, suggestions[] }` ; - `blockers`: `missing_",Implemented,; - `assessSongReadiness` result is informational; the to-track endpoint does NOT block conversion on `ready:false` — a caller can proceed with blockers present (only `can_proceed_anyway` is advisory) ; - `validateSongContract` triggers `repairSongMapWithProfile` internally; if repair fails silently the warning is emitted but generation still proceeds ; - No structured observability: readiness res,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B6,SongCreation,Lyrics Generation,"As a user, I want lyrics generated from my story details, so that my song's words reflect what I shared.",; - Entry point: `generateLyrics()` in `src/providers/lyrics.js`; also called from `src/workflows/runner.js` (`lyrics` step) ; - Context built by `buildLyricsContext(track)` in `src/writer/lyrics-context.js` — single source of truth for all fields reaching `generateLyrics` ; - Core engine: `src/writer/songwriter.js` — `generateLyricsWithContext()` ; - Up to `SELF_CORRECTION_MAX=3` attempts; each a,Implemented,"; - After `SELF_CORRECTION_MAX` attempts, the best-available draft is emitted even if both quality and fidelity are below threshold — no hard failure, just a warning log ; - Sectioned generation sequential (verse1→pre→chorus→verse2→bridge): a failure in any section throws and the whole lyrics step fails; no partial-section recovery ; - `assessQuality` and `assessFidelity` are local heuristics (not",P3,Infra-gated: E2E lyrics step needs a live LLM (returns 503 gracefully without it); suite-green otherwise,; --- ;
B7,SongCreation,Lyrics Policy Sanitization,"As the platform, I want generated lyrics sanitized against blocked terms, so that finished songs never contain disallowed content.","; - Module: `src/services/lyrics-policy-sanitizer.js` — `sanitizeLyrics(lyrics, recipientName, profile)` ; - Iterates all lyrics lines (title, anchor_line, sections[].lines) via `iterateLyricsLines()` ; - Per line: checks `hard_block_terms` list, `context_allowlist` exceptions, applies `replacementForViolation()` (case-insensitive substitution) ; - Returns `{ lyrics, changed, changes }` — always r",Implemented,; - Sanitizer operates on hardcoded term lists; no LLM-based policy check for nuanced violations ; - `context_allowlist` exceptions are static; a term allowed in one context may slip through in another ; - No audit trail: sanitized violations not logged to `audit_logs` ; - Sanitizer not applied to `review_edit` (manual lyric edits by user) — users can re-introduce blocked terms manually,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B8,SongCreation,Lyrics Manual Edit & Approval,"As a user, I want to review, edit, and approve my lyrics before rendering, so that the final song says exactly what I want.","; - `GET /tracks/:id/versions/:version/lyrics` — returns current `lyrics_json`, `lyrics_status`, approval state ; - `PUT /tracks/:id/versions/:version/lyrics` — user-edits lyrics (`review_edit`): updates `lyrics_json`, sets `lyrics_status='review_edit'`, stores edit provenance in `provenance_json` ; - `POST /tracks/:id/versions/:version/lyrics/approve` — approves lyrics: validates `lyrics_json` no",Implemented,; - Lyrics edit (`PUT`) does NOT re-run policy sanitizer; user can introduce policy violations that pass through to Suno ; - Lyrics edit does NOT re-run Labov fidelity check; a user could radically alter lyrics to remove story references ; - No version history for lyrics edits; each edit overwrites `lyrics_json` (provenance_json has a timeline but no full diff) ; - `moderation_check` at approval t,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B9,SongCreation,Music Plan Generation,"As the system, I want a structured music plan (style, BPM, arrangement) generated, so that the instrumental matches the requested vibe.","; - Step `music_plan` in both PREVIEW_STEPS and FULL_STEPS ; - Calls LLM (`generateText`) to produce structured JSON: style profile, BPM, rhythmic_signature, arrangement_notes, section guidance ; - `buildCompactStyleFields()` in `src/providers/music.js` resolves the requested style against `style-registry.js` — maps to `genre_core`, `rhythmic_signature`, `arrangement_notes`, `suno.support` level (",Implemented,; - Music plan is generated by LLM but stored without validation schema; malformed JSON could propagate to Suno ; - No fallback if music plan LLM call times out; job fails with retry ; - Style registry is a static map; new styles not in the registry fall back to generic defaults silently,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
B10,SongCreation,Content Moderation Gate (Workflow Step),"As the platform, I want all song inputs moderated before rendering, so that disallowed or impersonating content is blocked early.","; - Step `moderation` is the first step in both `PREVIEW_STEPS` and `FULL_STEPS` ; - `moderationCheck(input)` in `src/providers/moderation.js`: checks all text fields (title, recipient_name, message, occasion, relationship_type, specific_memory, special_phrases, lyrics) for: ; - Impersonation patterns (voice-cloning prevention): `/sounds? like/i`, `/voice of/i`, etc. ; - Leet-speak / diacritics ev",Implemented,; - Moderation is regex/keyword-based only; no LLM second-pass for nuanced or obfuscated violations ; - User `risk_level` set to `high` on first block with no appeal path in code ; - Moderation check at creation time (`POST /tracks`) is redundant with workflow step — creates a window where a track could be created without triggering the workflow-level block if creation check passes but an edited f,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
